filename,prov,str_num1,str_num2,str_num3,str_num4,str_num5,str_num6,rdx,rdy,ldx,ldy,lux,luy,rux,ruy
0.0,0,0,3,24,24,25,12,497,532,297,536,313,468,513,464
1.0,0,0,13,6,24,30,26,508,569,253,576,260,503,515,496
2.0,0,0,10,8,24,24,26,458,563,220,557,221,482,459,488
3.0,0,0,32,26,2,25,32,568,538,362,540,361,468,567,466
4.0,0,0,25,9,29,31,27,470,451,327,437,324,382,467,396
5.0,0,0,25,27,27,29,30,611,526,429,540,430,475,612,461
6.0,0,12,25,18,32,31,26,436,552,230,583,230,504,436,473
7.0,0,0,24,30,10,32,26,363,485,82,398,53,300,334,387
8.0,0,0,22,5,25,31,24,518,552,280,556,283,478,521,474
9.0,0,0,6,3,27,24,31,456,666,142,539,137,435,451,562
10.0,0,0,0,31,26,25,5,449,508,148,525,141,412,442,395
11.0,0,7,5,28,24,32,5,446,623,272,676,272,605,446,552
12.0,0,0,21,26,30,27,7,617,588,298,596,292,500,611,492
13.0,0,0,2,28,32,30,16,523,564,308,519,292,440,507,485
14.0,0,0,23,13,28,32,28,397,621,121,628,113,549,389,542
15.0,0,0,16,33,31,30,4,523,584,284,580,275,498,514,502
16.0,0,0,17,24,24,30,7,412,493,173,527,164,441,403,407
17.0,0,0,5,27,32,29,5,383,526,201,547,203,489,385,468
18.0,0,0,33,6,32,25,24,485,552,257,523,247,437,475,466
19.0,0,0,8,8,33,28,33,522,594,272,554,262,472,512,512
20.0,0,0,15,21,28,33,30,538,547,295,520,299,439,542,466
21.0,0,0,12,6,27,32,33,507,461,297,482,297,422,507,401
22.0,0,0,26,28,9,32,32,427,537,274,532,276,481,429,486
23.0,0,0,16,6,31,33,26,450,588,260,577,256,516,446,527
24.0,0,0,2,15,31,26,30,462,701,171,685,165,593,456,609
25.0,0,0,3,27,10,24,26,470,628,191,621,195,527,474,534
26.0,0,0,3,28,24,32,22,519,549,223,572,214,471,510,448
27.0,0,0,22,1,30,26,29,317,547,152,540,153,485,318,492
28.0,0,0,8,18,32,30,32,564,536,334,539,334,459,564,456
29.0,0,0,9,26,11,25,27,448,581,255,562,254,492,447,511
30.0,0,0,25,31,7,25,33,455,588,227,571,213,489,441,506
31.0,0,0,25,29,27,2,24,331,579,83,611,84,523,332,491
32.0,0,0,27,27,2,27,33,464,535,258,512,257,439,463,462
33.0,0,0,29,29,20,33,27,382,581,177,599,171,518,376,500
34.0,0,0,16,31,7,24,31,394,501,216,507,203,443,381,437
35.0,0,0,14,14,29,33,27,464,479,197,491,196,398,463,386
36.0,0,0,10,25,31,30,7,529,540,357,550,359,482,531,472
37.0,0,0,28,5,25,25,32,444,523,262,535,258,473,440,461
38.0,0,0,22,21,27,32,33,561,593,279,583,259,491,541,501
39.0,0,0,9,11,33,27,29,401,523,212,516,215,454,404,461
40.0,0,0,29,25,8,29,26,459,564,188,560,193,472,464,476
41.0,0,0,31,26,26,8,24,521,584,250,585,255,491,526,490
42.0,0,0,17,5,25,31,29,432,572,235,568,237,502,434,506
43.0,0,0,8,24,26,25,13,314,551,69,539,54,459,299,471
44.0,0,0,16,9,33,24,29,406,469,176,446,174,371,404,394
45.0,0,0,22,12,30,29,26,494,618,195,610,176,519,475,527
46.0,0,0,5,8,31,25,24,626,632,310,607,299,520,615,545
47.0,0,0,29,26,2,29,30,468,553,220,552,223,477,471,478
48.0,0,0,11,21,27,33,28,476,526,195,520,199,439,480,445
49.0,0,12,20,33,24,29,8,505,563,174,580,222,487,553,470
50.0,0,0,3,4,25,31,31,454,664,158,618,153,529,449,575
51.0,0,7,23,24,26,29,21,461,601,214,582,205,502,452,521
52.0,19,1,23,24,19,27,25,563,411,250,414,260,318,573,315
53.0,0,0,18,11,32,26,32,436,546,230,531,216,464,422,479
54.0,11,8,19,27,19,24,33,557,680,274,663,288,551,571,568
55.0,0,0,18,31,31,33,32,469,576,176,584,176,482,469,474
56.0,0,0,20,25,25,28,15,560,636,171,646,176,514,565,504
57.0,0,0,27,14,25,29,31,557,564,232,539,190,435,515,460
58.0,0,0,1,30,30,31,4,420,593,175,591,176,508,421,510
59.0,0,0,17,18,27,32,32,489,597,219,590,208,499,478,506
60.0,12,12,29,25,29,9,32,416,527,145,526,151,433,422,434
61.0,0,0,27,33,30,30,27,490,540,257,460,261,367,494,447
62.0,0,0,12,31,30,30,1,446,537,253,521,261,453,454,469
63.0,11,4,21,32,29,24,26,574,451,313,401,305,308,566,358
64.0,0,0,5,30,32,27,10,379,560,190,602,176,515,365,473
65.0,1,2,28,26,1,14,26,486,552,198,576,204,474,492,450
66.0,11,7,8,30,30,29,27,570,587,248,562,227,462,549,487
67.0,0,0,31,17,30,29,32,413,620,84,601,84,480,413,499
68.0,0,0,4,30,32,31,15,480,496,257,498,244,413,467,411
69.0,0,0,9,26,11,25,27,481,702,288,710,290,640,483,632
70.0,0,0,17,18,25,33,30,479,540,248,535,235,458,466,463
71.0,0,0,19,26,25,24,27,569,547,264,538,249,442,554,451
72.0,0,0,31,31,23,29,28,563,527,349,533,348,459,562,453
73.0,0,0,5,25,20,33,33,498,609,223,554,202,448,477,503
74.0,0,0,26,30,26,15,24,568,415,273,410,282,304,577,309
75.0,0,0,12,18,29,26,29,651,506,462,503,454,442,643,445
76.0,0,0,30,24,29,9,24,408,484,180,470,162,383,390,397
77.0,0,0,24,31,10,24,30,469,548,232,547,233,466,470,467
78.0,0,0,6,27,4,30,33,487,604,287,613,290,534,490,525
79.0,0,2,23,12,32,25,27,591,528,379,521,352,448,564,455
80.0,0,0,22,27,15,24,33,564,565,327,549,327,471,564,487
81.0,0,0,25,15,27,31,31,447,554,267,562,270,504,450,496
82.0,0,0,6,26,30,31,1,501,543,277,532,257,458,481,469
83.0,0,0,30,1,31,25,26,546,562,100,582,88,438,534,418
84.0,0,0,12,17,27,30,30,535,560,255,546,245,457,525,471
85.0,0,0,1,29,30,27,4,487,641,242,620,236,540,481,561
86.0,0,0,23,25,31,31,24,499,490,146,485,145,372,498,377
87.0,0,0,24,24,5,32,29,502,562,277,562,269,467,494,467
88.0,0,0,0,33,33,26,6,545,580,208,567,210,478,547,491
89.0,0,0,15,7,32,25,30,424,505,167,526,160,445,417,424
90.0,0,0,2,8,30,32,30,417,573,263,537,238,468,392,504
91.0,0,0,0,27,27,31,27,475,639,240,580,224,482,459,541
92.0,0,0,14,27,33,29,32,463,590,196,574,194,492,461,508
93.0,0,0,32,31,30,19,30,559,549,264,552,266,451,561,448
94.0,0,0,24,4,24,31,25,581,624,337,633,360,557,604,548
95.0,0,0,24,31,15,27,24,447,596,241,599,240,534,446,531
96.0,0,0,21,26,17,24,33,514,521,288,535,288,443,514,429
97.0,0,0,24,31,6,32,24,449,519,245,537,235,459,439,441
98.0,0,0,5,32,30,31,28,487,663,293,658,268,589,462,594
99.0,0,0,25,32,27,29,33,531,598,248,584,246,499,529,513
100.0,0,0,6,8,25,29,33,546,550,254,549,256,454,548,455
101.0,0,0,27,28,26,29,28,535,636,313,620,301,538,523,554
102.0,0,0,8,32,4,30,32,492,636,261,573,255,481,486,544
103.0,0,0,29,32,25,31,29,554,519,316,488,288,412,526,443
104.0,0,0,20,6,26,29,26,540,548,255,549,255,455,540,454
105.0,0,0,27,25,31,18,30,621,591,352,587,359,515,628,519
106.0,0,0,6,10,33,28,26,535,551,236,518,229,427,528,460
107.0,0,0,11,30,27,25,22,524,596,186,607,184,488,522,477
108.0,0,0,24,25,32,29,32,436,506,219,500,214,431,431,437
109.0,0,0,6,6,25,30,33,464,498,264,497,265,434,465,435
110.0,0,6,6,6,24,32,33,519,570,321,562,306,492,504,500
111.0,0,0,11,25,32,32,19,361,505,89,503,82,411,354,413
112.0,0,0,0,27,24,29,26,401,530,199,521,206,442,408,451
113.0,0,12,24,13,24,29,24,465,568,163,594,168,493,470,467
114.0,0,0,33,30,12,31,25,505,397,254,391,259,314,510,320
115.0,0,0,10,26,31,24,11,405,450,143,446,142,364,404,368
116.0,0,0,26,30,2,2,27,348,580,170,564,164,502,342,518
117.0,0,0,30,6,33,26,27,374,504,181,487,167,414,360,431
118.0,0,0,26,7,26,27,26,537,549,291,556,289,474,535,467
119.0,0,0,0,25,32,24,27,529,506,350,520,346,453,525,439
120.0,0,0,23,33,26,29,10,471,571,214,539,200,458,457,490
121.0,0,0,32,8,30,24,31,476,502,257,508,254,439,473,433
122.0,0,0,8,25,21,32,33,477,677,168,601,171,504,480,580
123.0,0,0,20,25,31,25,25,461,570,211,551,194,475,444,494
124.0,0,0,13,28,24,32,7,471,494,223,490,221,402,469,406
125.0,0,0,0,30,7,28,30,422,592,192,621,228,536,458,507
126.0,0,0,17,11,32,26,26,420,489,196,482,205,403,429,410
127.0,0,0,9,29,30,30,7,571,525,369,610,341,525,543,440
128.0,0,0,23,10,33,26,31,477,641,214,633,209,544,472,552
129.0,0,0,23,5,29,28,33,426,631,138,612,130,524,418,543
130.0,0,0,31,31,29,25,28,531,512,302,493,276,416,505,435
131.0,0,0,4,24,9,24,33,586,512,332,512,334,426,588,426
132.0,0,0,29,25,3,27,26,401,586,157,465,145,371,389,492
133.0,0,0,16,25,24,24,24,520,619,282,550,285,469,523,538
134.0,0,0,2,31,32,31,26,468,579,241,580,235,500,462,499
135.0,0,0,28,28,10,33,33,467,671,171,555,171,468,467,584
136.0,0,0,2,25,30,33,8,553,636,236,655,231,551,548,532
137.0,0,0,29,30,29,4,24,526,566,232,543,223,457,517,480
138.0,0,0,25,26,24,22,33,437,619,198,604,173,526,412,541
139.0,0,0,33,29,1,2,31,537,403,191,430,191,309,537,282
140.0,0,0,13,26,30,26,22,486,524,313,517,307,458,480,465
141.0,0,0,25,32,22,31,27,671,612,304,599,314,507,681,520
142.0,0,0,29,30,29,13,31,491,577,287,619,285,540,489,498
143.0,0,0,24,31,1,29,31,558,582,247,601,247,509,558,490
144.0,0,0,18,13,25,29,25,542,567,307,503,300,429,535,493
145.0,0,4,31,31,26,24,26,442,530,189,536,191,451,444,445
146.0,0,0,4,0,25,26,27,489,417,233,387,227,301,483,331
147.0,0,0,21,25,16,32,33,564,580,304,543,264,449,524,486
148.0,0,0,20,22,29,32,33,542,590,338,602,341,535,545,523
149.0,0,0,31,26,22,24,32,512,593,235,596,230,513,507,510
150.0,0,0,30,5,32,27,29,442,622,179,583,155,492,418,531
151.0,0,0,13,24,29,25,10,500,592,282,604,279,535,497,523
152.0,0,0,19,30,33,33,17,467,567,204,521,200,435,463,481
153.0,0,0,29,31,10,25,30,439,658,120,669,116,564,435,553
154.0,0,0,32,16,33,30,30,511,546,267,545,265,473,509,474
155.0,0,16,11,31,27,26,25,468,532,278,529,280,465,470,468
156.0,0,0,18,25,27,32,33,485,383,206,387,205,299,484,295
157.0,0,0,7,27,26,31,26,338,560,217,549,219,498,340,509
158.0,0,0,33,27,7,24,27,422,528,209,519,211,441,424,450
159.0,0,0,31,22,30,32,30,404,575,207,568,202,496,399,503
160.0,11,7,32,30,33,29,14,624,551,323,517,333,418,634,452
161.0,0,0,20,13,30,31,33,501,559,212,561,215,477,504,475
162.0,0,0,2,22,31,32,26,412,608,197,605,196,536,411,539
163.0,0,0,6,4,24,28,33,309,553,88,548,75,462,296,467
164.0,0,12,22,29,31,33,26,465,519,264,515,262,449,463,453
165.0,0,0,22,32,24,28,15,487,507,201,444,184,345,470,408
166.0,0,0,13,0,31,29,30,455,585,220,574,204,494,439,505
167.0,0,0,24,28,29,32,24,428,543,199,535,179,467,408,475
168.0,10,4,2,31,26,1,24,474,528,262,576,248,483,460,435
169.0,0,0,10,33,27,27,8,454,538,174,550,172,469,452,457
170.0,0,0,28,2,30,33,33,461,616,160,640,166,537,467,513
171.0,0,0,26,30,22,29,30,496,575,260,576,260,493,496,492
172.0,0,0,13,27,33,26,31,480,597,184,569,180,472,476,500
173.0,0,0,4,33,25,30,32,528,604,193,594,199,480,534,490
174.0,0,0,21,20,24,32,32,417,579,206,571,197,504,408,512
175.0,0,0,23,17,24,30,27,502,596,173,587,174,479,503,488
176.0,0,0,23,24,15,33,26,536,403,235,413,234,311,535,301
177.0,0,0,22,26,11,24,25,432,449,249,457,246,397,429,389
178.0,0,0,26,30,24,19,29,493,532,258,531,261,447,496,448
179.0,0,0,11,27,32,25,21,663,609,326,610,335,503,672,502
180.0,0,0,29,27,21,31,31,579,601,236,631,242,498,585,468
181.0,0,0,23,24,24,29,5,639,412,326,439,328,323,641,296
182.0,0,5,11,24,30,33,26,523,442,316,525,330,443,537,360
183.0,0,0,4,3,32,25,33,479,582,231,586,235,502,483,498
184.0,0,0,17,30,32,32,10,391,603,201,565,183,485,373,523
185.0,0,0,30,5,24,26,29,239,473,77,460,74,395,236,408
186.0,0,0,0,31,32,33,4,659,710,443,716,447,629,663,623
187.0,0,0,14,13,33,31,30,514,569,246,570,250,476,518,475
188.0,0,0,31,33,23,27,26,487,633,217,633,221,533,491,533
189.0,0,0,8,32,29,32,13,376,751,143,710,129,622,362,663
190.0,0,0,6,32,26,32,8,360,442,229,448,228,396,359,390
191.0,0,0,29,10,27,24,32,342,481,155,485,155,421,342,417
192.0,0,0,29,26,5,29,25,552,489,216,534,205,419,541,374
193.0,0,0,27,29,29,5,33,531,613,296,663,298,577,533,527
194.0,0,0,18,12,32,25,26,377,384,207,379,199,315,369,320
195.0,0,0,18,29,33,27,25,526,582,281,588,296,493,541,487
196.0,0,0,10,32,31,33,30,471,623,264,630,266,551,473,544
197.0,0,14,31,33,32,32,32,517,553,273,566,269,481,513,468
198.0,0,0,32,32,26,14,31,464,585,295,579,295,525,464,531
199.0,0,0,31,11,33,29,26,454,594,148,594,152,489,458,489
200.0,0,0,12,6,27,33,33,455,579,276,569,269,502,448,512
201.0,0,0,24,27,5,30,29,580,686,206,674,193,568,567,580
202.0,0,0,22,27,24,33,0,437,456,194,464,193,379,436,371
203.0,0,0,17,4,30,26,26,440,597,165,526,151,437,426,508
204.0,0,0,0,24,24,26,16,522,606,159,569,121,466,484,503
205.0,19,1,32,11,0,30,30,448,605,264,550,256,481,440,536
206.0,0,0,10,26,3,32,33,522,678,309,690,306,623,519,611
207.0,0,0,3,30,25,29,2,455,524,225,517,201,440,431,447
208.0,0,0,2,2,31,26,24,426,564,184,565,184,492,426,491
209.0,0,0,25,30,12,30,29,503,689,263,690,234,605,474,604
210.0,0,0,14,33,25,33,27,443,587,163,608,136,514,416,493
211.0,0,0,32,28,21,30,32,529,547,236,539,235,452,528,460
212.0,0,0,32,31,15,31,32,621,636,337,625,339,531,623,542
213.0,0,0,27,5,27,25,28,531,591,307,562,289,484,513,513
214.0,0,0,31,30,25,10,32,344,560,151,565,151,499,344,494
215.0,0,0,25,26,0,24,31,290,600,93,633,106,560,303,527
216.0,0,16,8,8,32,33,25,532,637,254,629,244,543,522,551
217.0,0,0,6,33,6,27,30,477,587,281,591,285,523,481,519
218.0,0,0,3,16,31,27,27,475,523,296,514,287,447,466,456
219.0,1,2,29,21,15,27,31,509,606,186,603,178,514,501,517
220.0,0,0,21,21,33,31,27,488,554,354,541,347,489,481,502
221.0,0,0,4,8,31,32,25,430,577,269,584,266,517,427,510
222.0,0,0,5,17,24,24,33,443,600,229,544,227,464,441,520
223.0,0,0,10,13,29,30,29,590,555,197,546,199,416,592,425
224.0,1,2,26,9,26,20,30,475,528,205,498,180,411,450,441
225.0,0,0,29,24,11,29,31,497,538,244,527,250,440,503,451
226.0,0,0,18,29,25,33,16,512,556,295,554,291,480,508,482
227.0,0,0,17,31,4,30,25,502,546,246,528,241,448,497,466
228.0,0,0,17,6,31,32,26,367,533,149,520,140,444,358,457
229.0,0,0,8,25,31,31,15,446,443,244,425,251,355,453,373
230.0,0,0,7,24,30,30,20,497,591,204,593,204,495,497,493
231.0,10,2,10,10,25,25,32,530,595,185,547,166,442,511,490
232.0,0,0,30,33,31,32,25,447,592,193,533,176,435,430,494
